FID,OBJECTID,NAME,FENAME,SOC,AREA
0,1,GREAT LAKES,Great lakes, ,239890.2624
1,2,GREENLAND,Greenland,GRL,2165194.435
2,3,CANADA,Canada,CAN,9924776.95
3,4,UNITED STATES,United States Of America,USA,9325530.099
4,5,SAINT PIERRE AND MIQUELON,Saint Pierre and Miquelon,SPM,228.04125
5,6,BERMUDA,Bermuda,BMU,63.19694514
6,7,BAHAMAS,Commonwealth of the Bahamas,BHS,13336.07578
7,8,TURKS AND CAICOS ISLANDS,Turks and Caicos Islands,TCA,546.337063
8,9,CUBA,Republic of Cuba,CUB,111349.3062
9,10,MEXICO,United States of Mexico,MEX,1957508.248
10,11,CAYMAN ISLANDS,Cayman Islands,CYM,277.721227
11,12,HAITI,Republic of Haiti,HTI,27074.02253
12,13,PUERTO RICO,Puerto Rico,PRI,9018.224115
13,14,"VIRGIN ISLANDS,BRITISH",British Virgin Islands,VGB,170.7810916
14,15,DOMINICAN REPUBLIC,Dominican Republic,DOM,48183.42747
15,16,"VIRGIN ISLANDS,U.S.",Virgin Islands of the United States,VIR,367.76878
16,17,ANGUILLA,Anguilla,AIA,82.56711224
17,18,JAMAICA,Jamaica,JAM,11025.30542
18,19,SAINT KITTS AND NEVIS,Federation of Saint Kitts and Nevis,KNA,275.7698163
19,20,ANTIGUA AND BARBUDA,Antigua and Barbuda,ATG,443.2215919
20,21,MONTSERRAT,Montserrat,MSR,102.5069813
21,22,BELIZE,Belize,BLZ,22217.36277
22,23,GUADELOUPE,Guadeloupe,GLP,1749.708939
23,24,GUATEMALA,Republic of Guatemala,GTM,109283.04
24,25,DOMINICA,Commonwealth of Dominica,DMA,766.6903546
25,26,MARTINIQUE,Martinique,MTQ,1142.264728
26,27,NICARAGUA,Republic of Nicaragua,NIC,129012.722
27,28,SAINT LUCIA,Saint Lucia,LCA,617.3967327
28,29,EL SALVADOR,Republic of El Salvador,SLV,20579.6445
29,30,HONDURAS,Republic of Honduras,HND,113032.1456
30,31,BARBADOS,Barbados,BRB,439.3483209
31,32,SAINT VINCENT AND THE GRENADINES,Saint Vincent and the Grenadines,VCT,409.3061223
32,33,ARUBA,Aruba,ABW,181.6068965
33,34,COLOMBIA,Republic of Colombia,COL,51.48488332
34,35,GRENADA,Grenada,GRD,365.8030738
35,36,NETHERLANDS ANTILLES,Netherlands Antilles,ANT,809.5657921
36,37,TRINIDAD AND TOBAGO,Republic of Trinidad and Tobago,TTO,5181.169906
37,38,COSTA RICA,Republic of Costa Rica,CRI,51222.36112
38,39,FRANCE,France Republic,FRA,4.001414297
39,40,PANAMA,Republic of Panama,PAN,75041.86065
40,41,MARSHALL ISLANDS,Republic of the Marshall Islands,MHL,199.2311082
41,42,PALAU,Republic of Palau,PLW,459.767486
42,43,KIRIBATI,Republic of Kiribati,KIR,1254.255246
43,44,UNITED STATES,United States Of America,USA,8.738036416
44,45,NAURU,Republic of Nauru,NRU,18.26231848
45,46,SOLOMON ISLANDS,Solomon Islands,SLB,28679.29513
46,47,PAPUA NEW GUINEA,Independent State of Papua New Guinea,PNG,462195.9521
47,48,COOK ISLANDS,Cook Islands,COK,248.9268877
48,49,AMERICAN SAMOA,American Samoa,ASM,211.0150755
49,50,AUSTRALIA,Commonwealth of Australia,AUS,7687234.094
50,51,VANUATU,Republic of Vanuatu,VUT,12231.70146
51,52,FIJI,Republic of Fiji Islands,FJI,18297.83486
52,53,TONGA,Kingdom of Tonga,TON,672.1649956
53,54,NIUE,Niue,NIU,266.1882028
54,55,NEW CALEDONIA,New Caledonia,NCL,18920.19167
55,56,PITCAIRN,Pitcairn,PCN,48.84709993
56,57,NORFOLK ISLAND,Norfolk Island,NFK,37.94197392
57,58,HEARD ISLAND AND MCDONALD ISLANDS,Heard Island and McDonald Islands,HMD,380.177539
58,59,BOUVET ISLAND,Bouvet Island,BVT,48.69151278
59,60,NORTHERN MARIANA ISLANDS,Commonwealth of the Northern Mariana Isl,MNP,1032.220901
60,61,ANTARCTICA,Antarctica,ATA,12538778.31
61,62,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,South Georgia and the South Sandwich Isl,0,
62,63,TUVALU,Tuvalu,TUV,29.99761507
63,64,TOKELAU,Tokelau,TKL,20.04125197
64,65,FRENCH POLYNESIA,French Polynesia,PYF,3732.241965
65,66,FRENCH SOUTHERN TERRITORIES,French Southern Territories,ATF,7569.51195
66,67,SAMOA,Independent State of Samoa,WSM,2877.209675
67,68,"MICRONESIA,FEDERATED STATES OF",Federated States of Micronesia,FSM,692.4422002
68,69,WALLIS AND FUTUNA,Wallis and Futuna,WLF,175.0271448
69,70,COCOS(KEELING) ISLANDS,Cocos (Keeling) Islands,CCK,18.03451674
70,71,PRINCE EDWARD ISLAND,Prince Edward Island,SF,332.9746025
71,72,NEW ZEALAND,New Zealand,NZL,270408.5953
72,73,WAKE ISLAND,United States Of America,USA,10.07222385
73,74,ALGERIA,Democratic People,DZA,2316558.659
74,75,TUNISIA,Republic of Tunisia,TUN,155176.5724
75,76,LIBYA,Great Socialist People,LBY,1616872.963
76,77,MOROCCO,Kingdom of Morocco,MAR,406318.1234
77,78,EGYPT,Arab Republic of Egypt,EGY,982443.2049
78,79,WESTERN SAHARA,Western Sahara,ESH,266829.9047
79,80,MALI,Republic of Mali,MLI,1251575.03
80,81,MAURITANIA,Islamic Republic of Mauritania,MRT,1040735.878
81,82,NIGER,Republic of Niger,NER,1183765.115
82,83,SUDAN,Republic of the Sudan,SDN,2503819.274
83,84,SENEGAL,Republic of Senegal,SEN,196761.3348
84,85,CAPE VERDE,Republic of Cape Verde,CPV,4057.621923
85,86,ETHIOPIA,Federal Democratic Republic of Ethiopia,ETH,1127581.386
86,87,GAMBIA,Republic of the Gambia,GMB,10797.23772
87,88,BURKINA FASO,Burkina Faso,BFA,273366.652
88,89,ERITREA,State of Eritrea,ERI,122099.1486
89,90,GUINEA-BISSAU,Republic of Guinea-Bissau,GNB,33973.2571
90,91,DJIBOUTI,Republic of Djibouti,DJI,21679.33687
91,92,GUINEA,Republic of Guinea,GIN,244871.5797
92,93,CHAD,Republic of Chad,TCD,1269963.089
93,94,NIGERIA,Federal Republic of Nigeria,NGA,909481.587
94,95,COTE Dl IVOIRE,Republic of Cote df Ivoire,CIV,321881.8984
95,96,CENTRAL AFRICAN REPUBLIC,Central African Republic,CAF,620200.155
96,97,GHANA,Republic of Ghana,GHA,238760.7641
97,98,SIERRA LEONE,Republic of Sierra Leone,SLE,72322.22045
98,99,BENIN,Republic of Benin,BEN,115542.4004
99,100,TOGO,Republic of Togo,TGO,57038.15154
100,101,LIBERIA,Republic of Liberia,LBR,95877.65352
101,102,CAMEROON,Republic of Cameroon,CMR,466295.004
102,103,UGANDA,Republic of Uganda,UGA,241278.0742
103,104,EQUATORIAL GUINEA,Republic of Equatorial Guinea,GNQ,26987.40809
104,105,CONGO,Republic of Congo,COG,341573.5927
105,106,SAO TOME AND PRINCIPE,Democratic Republic of Sao Tome and Prin,STP,1008.589455
106,107,GABON,Gabonese Republic,GAB,264715.5055
107,108,SOMALIA,Somalia Republic,SOM,633216.8448
108,109,RWANDA,Republic of Rwanda,RWA,25205.7111
109,110,KENYA,Republic of Kenya,KEN,582253.3621
110,111,"CONGO,THE DEMOCRATIC REPUBLIC OF THE",Democratic Republic of Congo,COD,2327985.866
111,112,BURUNDI,Republic of Burundi,BDI,26948.63432
112,113,TANZANIA,United Republic of Tanzania,TZA,941757.4092
113,114,ANGOLA,Angola,AGO,1247356.613
114,115,SEYCHELLES,Republic of Seychelles,SYC,475.8294046
115,116,MALAWI,Republic of Malawi,MWI,118061.7673
116,117,MAYOTTE,Mayotte,MYT,386.1746462
117,118,ZAMBIA,Republic of Zambia,ZMB,751315.3681
118,119,MADAGASCAR,Republic of Madagascar,MDG,591604.7716
119,120,MOZAMBIQUE,Republic of Mozambique,MOZ,786095.1052
120,121,MAURITIUS,Republic of Mauritius,MUS,2016.10863
121,122,ZIMBABWE,Republic of Zimbabwe,ZWE,390648.4168
122,123,REUNION,Reunion,REU,2541.056469
123,124,NAMIBIA,Republic of Namibia,NAM,824206.0837
124,125,BOTSWANA,Republic of Botswana,BWA,578083.4896
125,126,SWAZILAND,Kingdom of Swaziland,SWZ,17289.52835
126,127,LESOTHO,Kingdom of Lesotho,LSO,30453.53726
127,128,SOUTH AFRICA,Republic of South Africa,ZAF,1220060.753
128,129,SAINT HELENA,Saubt Helena,SHN,410.5912019
129,130,COMOROS,Comoros,COM,1671.323537
130,131,CANARIAS,Kingdom of Spain,ESP,7464.561745
131,132,MADEIRA,Portuguess Republic,PRT,819.3084231
132,133,VENEZUELA,Republic of Venezuela,VEN,912556.535
133,134,GUYANA,Guyana,GUY,210024.7374
134,135,SURINAME,Republic of Suriname,SUR,146101.2373
135,136,FRENCH GUIANA,French Guiana,GUF,83266.55037
136,137,ECUADOR,Republic of Ecuador,ECU,256211.5331
137,138,BRAZIL,Federative Republic of Brazil,BRA,8484839.225
138,139,BOLIVIA,Republic of Bolivia,BOL,1085047.266
139,140,PERU,Republic of Peru,PER,1291445.152
140,141,PARAGUAY,Republic of Paraguay,PRY,399381.082
141,142,ARGENTINA,Argentina,ARG,2779705.337
142,143,URUGUAY,Oriental Republic of Uruguay,URY,178158.2042
143,144,CHILE,Republic of Chile,CHL,754236.8785
144,145,FALKLAND ISLANDS(MALVINAS),Falkland Islands (Malvinas),FLK,12035.6253
145,146,COLOMBIA,Republic of Colombia,COL,1137869.979
146,147,SVALBARD AND JAN MAYEN,Svalbard and Jan Mayen,SJM,61644.59024
147,148,RUSSIAN FEDERATION,Russian Federation,RUS,16944385.18
148,149,SWEDEN,Kingdom of Sweden,SWE,449206.152
149,150,ICELAND,Republic of Iceland,ISL,102565.9233
150,151,NORWAY,Kingdom of Norway,NOR,324261.0278
151,152,FAROE ISLANDS,Faroe Islands,FRO,1416.190985
152,153,FINLAND,Republic of Finland,FIN,336890.7873
153,154,UNITED KINGDOM,United Kingdom of Great Britain and Nort,GBR,245081.0959
154,155,ESTONIA,Estonia,EST,45438.02661
155,156,LATVIA,Republic of Latvia,LVA,64562.57707
156,157,LITHUANIA,Republic of Lithuania,LTU,64945.40004
157,158,DENMARK,Kingdom of Denmark,DNK,44440.77101
158,159,BELARUS,Repubic of Belarus,BLR,207604.6658
159,160,GERMANY,Federal Republic of Germany,DEU,357241.7904
160,161,NETHERLANDS,Kingdom of the Netherlands,NLD,35025.41165
161,162,POLAND,Republic of Poland,POL,311947.3799
162,163,IRELAND,Ireland,IRL,69809.49477
163,164,BELGIUM,Kingdom of Belgium,BEL,30613.06441
164,165,FRANCE,France Republic,FRA,548780.4923
165,166,LUXEMBOURG,Grand Duchy of Luxembourg,LUX,2620.690851
166,167,CZECH REPUBLIC,Czech Republic,CZE,78888.46523
167,168,SLOVAKIA,Slovakia Republic,SVK,49028.59955
168,169,MOLDOVA,Republic of Moldova,MDA,34059.92456
169,170,AUSTRIA,Republic of Austria,AUT,83964.31529
170,171,HUNGARY,Republic of Hungary,HUN,93118.72721
171,172,SWITZERLAND,Switzerland,CHE,41261.58323
172,173,LIECHTENSTEIN,Principality of Liechtenstein,LIE,150.9853548
173,174,SLOVENIA,Republic of Slovenia,SVN,20682.72426
174,175,ROMANIA,Romania,ROM,237980.2916
175,176,SERBIA,Republic of Serbia,SEB,88477.99418
176,177,UKRAINE,Ukraine,UKR,600352.9629
177,178,BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,BIH,50992.52384
178,179,CROATIA,Republic of Croatia,HRV,56375.58469
179,180,SAN MARINO,Republic of San Marino,SMR,60.04328506
180,181,MONACO,Principality of Monaco,MCO,8.434797529
181,182,ITALY,Italian Republic,ITA,301632.6124
182,183,BULGARIA,Republic of Bulgaria,BGR,111300.481
183,184,ANDORRA,Andorra,AND,474.6374715
184,185,"MACEDONIA,THE FORMER YUGOSLAV REPUBLIC OF",The former Yugoslav Republic of Macedoni,MKD,25423.85863
185,186,MONTENEGRO,Reoublic of Montenegro,YUG,13780.27197
186,187,VATICAN,Vatican City State,VAT,0.60955392
187,188,ALBANIA,Albania,ALB,28486.10949
188,189,GREECE,Hellenic Republic,GRC,132565.1982
189,190,GIBRALTAR,Gibraltar,GIB,5.712251571
190,191,MALTA,Republic of Malta,MLT,313.5249736
191,192,PORTUGAL,Portuguess Republic,PRT,91159.12713
192,193,SPAIN,Kingdom of Spain,ESP,498250.639
193,194, , ,cp3,75.95435955
194,195,TURKMENISTAN,Turkmenistan,TKM,489386.5961
195,196, , ,cp2,60.08245691
196,197,KYRGYZSTAN,KyrgyzSTRepublic,KGZ,198096.4324
197,198,ARMENIA,Republic of Armenia,ARM,29688.4372
198,199,SYRIAN ARAB REPUBLIC,Syrian Arab Republic,SYR,186958.3897
199,200,LEBANON,Lebanese Republic,LBN,10132.86171
200,201,AFGHANISTAN,Afghanistan,AFG,641403.4109
201,202,IRAQ,Republic of Iraq,IRQ,437114.1619
202,203,KUWAIT,State of Kuwait,KWT,17322.67927
203,204,NEPAL,Kingdom of Nepal,NPL,147393.0145
204,205,BHUTAN,Kingdom of Bhutan,BTN,37672.58057
205,206,LAOS,Lao People,LAO,229980.3239
206,207,MALDIVES,Republic of Maldives,MDV,182.7065771
207,208,BRUNEI,Brunei Darussalam,BRN,5880.119097
208,209,EAST TIMOR,East Timor,TMP,14771.69599
