WT	NEE	CH4	N2O	GHGs
1.2	-12.57666667	0.1632	0.1	-12.31346667
1.2	-11.88	0.068	-0.02	-11.832
2.1	-13.48444163	3.133311373	0.266638899	-10.08449136
7.75	-12.243	0.906666667	1.873142857	-9.463190476
-40	-8.7	-0.0408	0.298	-8.4428
-23.8	-19.19750702	12.08546581	0.299583991	-6.812457218
4.7	-14.72654822	8.042985062	0.240710781	-6.442852374
18.8	-13.409	7.570666667	1.873142857	-3.965190476
38.05	-4.524928063	1.133120196	0.334350081	-3.057457786
-6.196	-4.356	1.405333333	-0.06556	-3.016226667
12.5	-2.669333333	0.01088	0.0026224	-2.655830933
-16.8906	-2.779333333	0.022666667	0.72116	-2.035506667
-10.61272727	0.337333333	0.049866667	-2.056945	-1.669745
-17.88819876	-7.090463333	1.262964451	4.161187652	-1.66631123
3.71	-13.7445	11.6416	0.631155486	-1.471744514
-13.67875648	-1.388638333	0.46952891	0.175794457	-0.743314967
14	-19.36	19.04	-0.337358491	-0.657358491
-11.36454545	-2.882	0.725333333	1.565245	-0.591421667
-24	-20.26922102	19.30873759	0.432672269	-0.52781116
11.5	-0.853467053	0.779426555	-0.040811587	-0.114852086
-8	-8	7.771428571	0.22490566	-0.003665768
2.33735	-7.395666667	7.344	0.368775	0.317108333
-24.4	-11.15429345	11.26256143	0.219963493	0.328231473
-34.14507772	0.360721867	0.46952891	0.162033829	0.992284605
-4	-3.153333333	4.533333333	-0.11245283	1.26754717
7.75	-11.176	2.357333333	10.30228571	1.483619048
2.6	-16.14714104	17.70864574	0.130463079	1.691967772
23.33333333	0.925298	0.484895938	0.53701094	1.947204878
-38.80829016	1.646778667	0.47849301	0.278999167	2.404270843
-48	-0.1	-0.242857143	2.811320755	2.468463612
-12.5	-5.316666667	7.82	0.009	2.512333333
0	-1.990881459	4.081842818	0.432867209	2.523828568
65	-43.08333333	45.78666667	0	2.703333333
-18	-4	5.585714286	1.124528302	2.710242588
-12	-0.978926039	3.174254743	0.55131346	2.746642164
0.530973451	-0.217806027	2.910026374	0.175794457	2.868014804
-25.13274336	2.315388493	0.473370667	0.175794457	2.964553617
-17.5	2.557638214	0.487477399	0.175794457	3.22091007
-67	-0.22	-0.0136	3.652628571	3.419028571
14	-12.06333333	16.32	-0.674716981	3.581949686
-45.70776256	3.159786667	0.472090081	0.174074379	3.805951126
-31	3.765666667	0.05304	0.02	3.838706667
-15.73529412	3.199179556	0.537130303	0.175794457	3.912104316
-24	4.055333333	0.086133333	0.004	4.145466667
-24.5	-13.32049537	17.29719355	0.286217046	4.262915224
7	-3.226666667	7.706666667	-0.11245283	4.36754717
3.185840708	1.259890776	3.015967927	0.175794457	4.45165316
9	1.219056208	3.324241318	0.164713453	4.70801098
1.5	-12.49075636	17.06755498	0.205371717	4.782170337
32.8	3.886958625	0.733257854	0.267336948	4.887553427
-4	-0.256666667	4.986666667	0.22490566	4.95490566
-17.94117647	4.617323576	0.475116549	0.175794457	5.268234583
12.95333333	-4.165333333	10.15466667	-0.34419	5.645143333
7	1.845098292	3.816477977	0.186223637	5.847799906
-42.95336788	-3.497448533	0.466629663	8.894514457	5.863695587
3.7	-14.97496953	20.79788146	0.156972564	5.97988449
-12.5	-0.55	5.78	0.75	5.98
9.435	-13.16773333	18.7952	0.491138057	6.118604724
-9.1	2.994493776	0.476857502	2.874372301	6.345723579
7	0.88	5.893333333	-0.337358491	6.435974843
-11.6	3.398764341	0.47905032	2.782558956	6.660373617
5.7	2.846765625	4.267694915	0.171166509	7.285627048
-17	4.033232016	2.433441734	0.828585366	7.295259116
-28	5.045187437	1.155447154	1.354056007	7.554690598
0.5	-0.8	8.378571429	0	7.578571429
1.3	-9.608346001	17.20575973	0.15777814	7.755191866
2.8	-17.21885504	24.97763443	0.264132528	8.022911912
10.43636364	-2.794	10.97066667	-0.073755	8.102911667
10.7079646	2.73758758	5.24074053	0.175794457	8.154122567
1.112181818	1.089	9.157333333	-1.729145	8.517188333
5.7	2.621390475	6.472504951	0.19013458	9.284030005
-46	9.819333333	0.062106667	0.332	10.21344
