Climate	NEE_A	NEE_G	Climate	CH4_A	CH4_G	Climate	N2O_A	N2O_G
1	-0.46	-0.69	1	149	122	2	1.209090909	1.013829237
1	-0.53	-0.66	1	259	178	2	0.127272727	0.086754891
1	-0.45	-0.59	1	69.75	56.25	2	0.445454545	0.326974962
1	-0.55	-0.59	1	24.6	18.09	2	0.190909091	0.196782917
1	-0.597272727	-0.902948403	1	61.65	52.74	2	14.73459426	9.291023402
1	0.152735382	-0.677719152	1	20.85	15.3	2	16.93410616	12.17829433
1	0.036510757	-0.547150963	1	117.45	95.04	2	16.87004271	11.44620036
1	0.44360454	-0.205180995	1	111.6	90.81	2	10.61317877	6.724812419
1	0.039815442	-0.590673575	1	245.475	137.34	2	29.68273337	20.88262663
1	-0.428742548	-1.231089139	1	149.25	126.36	2	14.22208664	10.52977695
1	0.778867317	0.105700186	1	1.8	4.68	1	0.340474812	0.190724851
1	1.074912838	0.360620354	1	7.8	6.12	1	0.490716078	0.284753555
1	-0.527707013	-1.356785967	1	43.425	34.74	1	0.406408029	0.201776866
1	-0.96059528	-1.840122855	1	23.775	17.46	1	0.309129512	0.168713541
1	-0.606288375	-1.477386935	1	28.8	18.81	1	0.376143602	0.201149195
1	-0.168700321	-1.254274087	1	16.575	7.83	1	0.371820112	0.196597575
1	-0.644998621	-1.694473727	1	58.575	50.76	1	0.05292	0.023551913
1	-0.427823896	-1.453268379	1	26.175	19.53	1	0.048796364	0.024907361
1	1.068956357	-0.563567362	1	40.125	30.6	1	0.084809455	0.050289023
1	0.59	-0.92	1	25.875	24.75	1	0.066069818	0.044625018
1	1.26	-0.36	1	32.7	18.54	1	0.063916364	0.024242421
1	-0.6	-1.1496	1	10.575	3.78	1	0.064557818	0.02798429
1	-1.05	-1.5996	1	18.3	15.12	2	38.18181818	33.56572288
1	-0.78	-1.53	1	4.2	3.33	2	7.636363636	4.989162714
1	-0.5304	-1.08	1	14.775	9.81	2	61.09090909	40.51474367
1	-0.04	-0.227586207	1	8.025	2.97	2	3.181818182	2.227128385
1	-0.21	-0.4	1	14.925	6.21	2	23.54545455	5.826302693
1	-0.08	-0.268965517	1	8.475	1.89	2	6.363636364	3.488619137
1	-0.06	-0.317241379	1	46.875	42.03	2	8.909090909	4.259055401
1	-0.37	-0.544827586	1	65.025	55.53	2	3.818181818	2.935815053
1	-0.53	-0.696551724	1	77.1	58.86	2	0.008541794	0.004270897
1	-0.484505112	-0.729934823	1	168.675	142.38	2	0.042708969	0.021354484
1	-0.613118219	-0.920102742	1	-0.375	-0.27	2	0.708968883	0.35661989
1	-0.578354323	-0.961272607	1	296.85	290.88	2	37.1	21.62858206
1	-0.925	-1.42883282	1	0.15	0.18	2	26.79090909	16.20064469
1	-1.546	-1.886377428	1	135.225	126.36	2	36.71818182	13.74908789
1	-0.158181818	-0.231818182	1	1.5	-0.27	2	60.58181818	30.35266475
1	-0.163636364	-0.250909091	1	40.125	20.34	2	2.18	2.006830449
1	-0.128181818	-0.27	1	0.225	-0.36	2	2.8	2.389222716
1	-0.160909091	-0.259090909	1	356.775	310.59	2	1.96	1.755795234
1	-0.158181818	-0.237272727	1	220.425	172.35	2	1.02	0.89496687
1	-0.049090909	-0.130909091	1	-0.675	-0.54	2	1	0.73140917
1	-0.130909091	-0.185454545	1	-0.6	-0.45	2	1.32	1.057635453
1	-0.286363636	-0.387272727	1	-1.8	-3.15	2	1.272727273	1.163831476
1	-0.111818182	-0.166363636	1	97.8	76.41	2	1.272727273	0.836840326
1	-0.18	-0.207272727	1	113.7	107.37	2	7	5.009563009
1	-0.215454545	-0.253636364	1	17.925	18.81	2	3.818181818	1.587041627
1	-0.155454545	-0.196363636	1	6.525	5.22	2	0.636363636	0.729151366
1	0.291845494	-0.25751073	1	16.06681034	11.3299818	2	0.636363636	0.690937053
1	-0.600858369	-1.236051502	1	7.863685345	0.255652287	2	0.572727273	0.506902105
1	-0.291845494	-0.909871245	1	27.15517241	20.12322369	2	0.445454545	0.411430876
1	0.755364807	0.034334764	1	-0.339439655	-0.316281004	2	0.381818182	0.381363427
1	-0.463519313	-0.772532189	1	5.940193966	4.926247814	2	0.254545455	0.197288562
1	-0.326180258	-1.167381974	1	-1.244612069	-0.961952918	2	0.190909091	0.167940411
1	0.858369099	0.480686695	1	2.7108	2.468925583	2	0.254545455	0.063635632
1	-2.472103004	-2.884120172	1	0.0759078	0.054650268	2	0.127272727	0.031181797
1	-1.167381974	-1.493562232	1	1.31166	1.123879615	2	0.190909091	0.116971142
1	0.223175966	-0.034334764	1	1.3851	1.103049805	1	3.014060119	2.597740447
1	-0.785	-1.531	1	6.7068	4.387959574	1	2.839583035	1.861512806
1	-0.497247672	-1.250121228	1	0.29484	0.218631356	1	14.33826491	9.807446574
1	-0.544601083	-1.447548861	1	14.9228697	13.46521792	1	5.730822032	5.372994559
1	-4.695864019	-5.628915347	1	7.530407414	6.4354711	2	22.3019779	1.801838611
1	-4.040783571	-6.035333402	1	2.809667751	2.635787359	2	2.745401045	2.130896701
1	-3.722995442	-6.174532218	1	-0.183810668	-0.178925877	2	7.649136244	2.549790925
1	1.011	-0.463	1	-0.716823565	-0.706122074	2	2.434600926	1.930555986
1	0.44	-0.73	1	-1.294669205	-1.282148993	2	9.997403804	5.992008673
