WT	Climate	NEE	WT	Climate	CH4	WT	Climate	N2O
86	2	-6.11	98.4	3	2.8908	-85.43	1	23.54545455
82	2	8.836573	92.1	3	0.2628	-83.02	1	61.09090909
77	2	0.88823764	90	2	0.032242926	-81.7	2	0.650287475
73	3	0.422471882	90	2	0.031671098	-81	1	7.828847097
65	2	-11.75	90	2	0.022450379	-80	2	10.99
61	2	0.487129562	90	2	0.019591241	-80	2	9.17
60	3	-3.027272727	90	2	0.013730008	-80	2	3.695014663
57	2	1.66	90	2	0.01272931	-80	2	2.8525
56	2	9.691580125	87.8	2	0.140436214	-80	2	2.463343109
55	2	-0.822615474	86	2	1	-80	2	1.1725
55	2	-3.511790332	80	3	0.035359375	-79	2	0.436925593
55	2	-6.617962958	70	2	0.038625	-78.71595331	2	7.4
55	2	-8.65095054	65	2	1.01	-78.71595331	2	4.963636364
55	3	-2.863636364	60	3	0.024713542	-78.71595331	2	1.4
50	3	-3.436363636	57	2	0.86	-76.7	2	1.209090909
46.17969785	3	0.32	56	3	0.9636	-76	1	68.3
41.99456362	2	-0.788	55	2	0.563	-75	1	4.05
41.14604761	2	0.929	53.26732673	3	0.0292	-72.55	1	3.181818182
40.9	2	-0.707	50	2	0.6	-72	1	3.8
40	2	-1.418259	50	2	1.573965518	-72	1	2.4
38.05	2	-1.23407129	50	2	1.3425	-70.55	1	7.636363636
38	2	0.806551304	50	2	0.594094828	-70	1	17.16
36.11702128	3	-0.442477876	50	2	0.4725	-70	2	0.222044154
35.5	3	-11.0502144	50	2	0.296505	-67	1	7.8
34.17	2	-2.69538485	50	2	0.293478261	-67	1	5.4
32.8	1	1.060079625	50	2	0.225	-66.44	1	38.18181818
32.04582813	3	4.416	50	2	0.225	-66	2	2.990909091
31.73487427	2	2.593993079	50	2	0.07398864	-65	2	1.769190515
29.56190922	2	1.154532781	50	2	0.058181976	-61.8	2	0.394502457
29.4	2	0.287	50	1	-0.015430853	-61.4	2	60.58181818
27	2	0.33346804	50	1	0.031536	-61.11111111	2	0.27718
26	2	2.171199651	49	2	0.234470512	-60	1	59.4
26	2	-3.97	41.99456362	2	0.434	-60	1	13.6
25.94812749	2	0.297	41.14604761	2	0.521	-60	2	3.918004906
25	2	-0.00825	40.9	2	0.423	-58	2	37.1
23.33333333	2	0.252354	40	2	0.044503611	-57	2	1.167522486
23.1	2	0.678027593	39	2	0.062647627	-56.5	2	51
19.65060241	2	0.861872727	38.05	2	0.024995298	-56	3	27.6743
19	2	-0.605202123	35.38	2	0.04927029	-55	2	2.18
18.8	2	-1.661	34.17	2	0.051444848	-53.5	2	69.6
18.8	2	-3.657	34	2	0.4545	-52	1	3.6
18	3	-1.232727273	32.8	1	0.016174806	-51.6	2	0.066069818
17.03083311	3	-0.09	31.73487427	2	0.166229998	-50	1	6.2
16.7	2	0.634230915	31.14285714	2	0.066836735	-50	2	0.050139002
16.22	1	0.0548224	29.56190922	2	0.382901199	-49	1	17.2
16	2	2.025056833	29.5	2	1.99935348	-49	1	4.6
15.66	2	2.66	29.4	2	0.57	-48	1	6.003430532
15	3	-11.7	29	2	0.010584371	-47	2	-0.034045455
15	2	1.189119913	29	2	0.504	-46	1	0.708968883
15	2	0.851019511	27	2	0.060667325	-45.70776256	1	0.371726861
15	3	-0.111612095	26	2	0.387	-45.1	1	3.818181818
14	2	-3.29	26	2	0.033825553	-44.44444444	2	-0.024512727
14	2	-5.28	25.94812749	2	0.57	-43.8	2	0.34922024
13.15959708	2	0.528848952	25	2	0.3285	-43.75	2	1.369954819
12.95333333	2	-1.136	25	2	0.05025	-43	3	3.05286
12.5	2	-0.728	25	2	0.027723806	-43	3	2.65574
12.1664458	3	-0.12	25	2	2.438472324	-43	3	1.78704
12	2	1.642162649	24.85714286	2	0.042950045	-42.95336788	1	18.99377706
11.5	1	-0.232763742	24.85714286	2	0.013368515	-42	1	8.909090909
11.37870484	2	0.723514873	24.6	2	0.005367149	-42	2	0.330921818
11	2	0.871697712	24.6	2	0.004693134	-41.8	2	0.084809455
11	2	0.323954429	24.4	2	0.228	-41.2	2	0.490716078
10.73	2	-0.394909091	23.33333333	2	0.010696234	-41	2	4.499958939
10.7079646	2	0.746614795	23.1	2	0.010442	-41	2	0.136091578
10.43636364	2	-0.762	23	2	0.809067764	-40.6	2	0.127272727
10	1	-0.213679209	21	2	0.218403405	-40	2	5.337243402
10	2	1.516479825	20	2	0.105	-40	2	4.516129032
10	2	0.368828871	19.5	2	0.004527777	-40	1	0.636363636
10	2	0.294545455	19.5	2	0.003944526	-39	2	2.8
10	2	0.245037307	19.2	2	0.804	-38.80829016	1	0.595788336
10	2	1.1958826	18.8	2	0.373	-35.7	2	0.371820112
10	1	0.86176	18.8	2	0.167	-34.14507772	1	0.346014889
9.8	2	0.982112909	17.5	2	0.048312686	-33.8	2	36.71818182
9.8	2	0.629650818	17	2	0.157385933	-33.05270605	2	5.918181818
9.759472059	3	0.03	16.7	2	0.008297647	-33	2	0.127272727
9.435	2	-3.5912	15	2	0.021222356	-33	1	6.87
9	2	-0.5	15	2	0.016492768	-33	2	0.050139002
9	2	0.903788	14.1	2	0.0005025	-32.44	2	9.997403804
9	2	0.049205931	14	2	0.42	-31.7	2	0.406408029
9	2	-0.1027826	14	2	0.36	-31.58362989	2	0.509090909
9	1	0.332469875	13.66336634	3	0.73	-31	2	1
8	2	-0.354148247	13.5	2	0.01661141	-31	3	0.54604
7.75	2	-3.048	13.15959708	2	0.028178152	-31	1	0.042708969
7.75	2	-3.339	12.95333333	2	0.224	-30.9	2	0.309129512
7.43	2	1.63	12.87128713	3	0.014129032	-30.2	2	0.340474812
7	2	0.420408689	12.86821705	2	0.09454635	-30	1	16.67
7	2	0.24	12.5	2	0.00024	-30	2	0.445454545
7	2	-0.88	12	2	0.152694358	-29.99	2	2.745401045
7	1	0.503208625	12	2	0.056135182	-28	2	2.891516794
7	2	-0.208239258	12	2	0.049435835	-28	2	1.32
6	2	0.171965898	11.5	1	0.017193233	-27.97101449	2	3.818181818
6	2	-0.425454545	11.37870484	2	0.024902346	-27.8	2	0.095353098
6	2	0.792584185	10.73	2	0.249	-27.2	2	0.068516217
6	3	-0.695454545	10.7079646	2	0.115604571	-27	1	26
6	3	-0.807272727	10.43636364	2	0.242	-26.4	2	0.376143602
5.7	1	0.776390625	10	2	0.8925	-25.8	2	0.296860721
5.7	1	0.714924675	10	2	0.675	-25.13274336	2	0.3754
5.7	1	0.653458725	10	2	0.5625	-25.07246377	2	2.545454545
5.3	2	0.496583378	10	2	0.525	-25	2	-0.121766149
5.069939499	2	0.4603926	10	2	0.4425	-24.5	2	0.611201745
5	2	1.51	10	2	0.4125	-24.4	2	0.469720698
5	2	0.499325811	10	2	0.00962574	-24	2	0.923949324
5	2	0.318592591	10	2	1.166380623	-24	1	0.008541794
